Influencer_name,followers,engagement_rate,avg_likes,avg_comments,category,efficiency_score,category_encoded,efficiency_prob
Influencer_16,224165,9.3,13835,638,fitness,1,1,0.99353164
Influencer_33,372369,8.18,18784,1685,food,1,2,0.9929351
Influencer_5,792743,9.93,47919,3303,food,1,2,0.9929351
Influencer_15,272836,9.71,18215,1733,tech,1,3,0.9929351
Influencer_30,632347,5.85,23962,746,tech,1,3,0.9929351
Influencer_32,325767,6.19,13054,1180,fitness,1,1,0.9929351
Influencer_35,543335,8.17,33206,1508,tech,1,3,0.9929351
Influencer_22,302648,7.26,15272,1045,travel,1,4,0.9929351
Influencer_60,738378,9.75,31817,1413,fitness,1,1,0.9929351
Influencer_67,361032,5.98,11793,420,fashion,1,0,0.9929351
Influencer_66,863645,9.11,40692,1953,fitness,1,1,0.9929351
Influencer_75,767577,6.34,38689,1207,food,1,2,0.9929351
Influencer_93,374632,9.57,23983,1543,tech,1,3,0.9929351
Influencer_99,891617,6.35,34964,826,travel,1,4,0.9929351
Influencer_95,856474,7.7,20259,593,travel,1,4,0.9929351
Influencer_77,631152,7.17,21710,944,travel,1,4,0.9929351
Influencer_82,667326,6.88,21306,690,travel,1,4,0.9929351
Influencer_94,638717,7.44,15389,1004,fashion,1,0,0.9929351
Influencer_88,804451,7.29,18797,975,fitness,1,1,0.9929351
Influencer_86,612523,8.5,20679,1094,travel,1,4,0.9929351
Influencer_70,299356,8.89,17933,1725,fashion,1,0,0.9929351
Influencer_74,514758,8.52,33551,860,tech,1,3,0.9929351
Influencer_58,799615,8.58,52677,4363,food,1,2,0.9929351
Influencer_54,359745,9.83,19743,806,travel,1,4,0.9929351
Influencer_52,300648,6.92,13889,510,tech,1,3,0.9929351
Influencer_44,258426,6.97,10185,568,fitness,1,1,0.9929351
Influencer_42,741976,9.98,32092,3149,fitness,1,1,0.9929351
Influencer_57,969911,9.02,65049,5359,fashion,1,0,0.9929351
Influencer_53,809350,8.83,30656,2231,food,1,2,0.9929351
Influencer_51,402896,7.06,14033,1332,fitness,1,1,0.9929351
Influencer_50,560042,8.19,21756,602,food,1,2,0.9929351
Influencer_49,879338,6.11,34320,731,travel,1,4,0.9929351
Influencer_39,984703,9.46,42999,2644,tech,1,3,0.9929351
Influencer_27,159338,7.73,7151,584,travel,1,4,0.99278694
Influencer_85,114632,8.36,4176,405,food,1,2,0.99278694
Influencer_8,130981,7.96,4168,254,fitness,1,1,0.99278694
Influencer_87,212810,6.56,9256,907,food,1,2,0.99278694
Influencer_79,220963,5.36,6522,546,food,1,2,0.99035466
Influencer_64,831496,5.65,26045,1846,travel,1,4,0.98965925
Influencer_68,172836,5.24,5307,432,fashion,1,0,0.98944294
Influencer_38,751216,5.11,24806,1030,tech,1,3,0.98686373
Influencer_1,122958,8.07,3886,320,fitness,1,1,0.9867921
Influencer_9,556839,4.93,20039,1491,travel,1,4,0.9822796
Influencer_37,128948,8.68,3396,206,food,1,2,0.9808766
Influencer_61,78505,7.07,3474,131,tech,1,3,0.96920896
Influencer_4,65820,9.71,4577,169,travel,1,4,0.96869546
Influencer_12,252995,4.68,4274,254,travel,1,4,0.9466853
Influencer_89,735994,4.67,11659,256,fashion,1,0,0.9285117
Influencer_6,990436,4.6,20302,1399,travel,1,4,0.9285117
Influencer_47,107081,6.52,3964,107,fashion,1,0,0.9166462
